ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
4199,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4200,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4201,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4202,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4203,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4141068924658808,0.5858931075341193,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4204,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4205,1.0,0.5291059781953589,0.4708940218046412,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4206,1.0,0.47634112046550686,0.5236588795344931,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4207,1.0,0.5285654474042579,0.47143455259574213,0.0,0.39583790821071724,0.6041620917892827,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4208,1.0,0.5285654474042579,0.47143455259574213,0.0,0.3538436302740523,0.6461563697259477,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4209,1.0,0.5285654474042579,0.47143455259574213,0.0,0.3538436302740523,0.6461563697259477,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4210,1.0,0.5285654474042579,0.47143455259574213,0.0,0.3538436302740523,0.6461563697259477,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.44470353978659155,0.5552964602134084,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4211,1.0,0.5285654474042579,0.47143455259574213,0.0,0.3538436302740523,0.6461563697259477,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.39924210977473773,0.6007578902252623,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4212,1.0,0.5285654474042579,0.47143455259574213,0.0,0.3538436302740523,0.6461563697259477,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.39924210977473773,0.6007578902252623,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4213,1.0,0.5761189321783383,0.42388106782166174,0.0,0.3538436302740523,0.6461563697259477,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.39924210977473773,0.6007578902252623,0.4732349744023153,0.5267650255976846,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
